Top queries,Clicks,Impressions,CTR,Position
mypen ge,2894,3393,85.29%,1
mypen,936,1333,70.22%,2.66
mypen.ge,931,1018,91.45%,1
my pen.ge,357,415,86.02%,1
my pen,126,394,31.98%,15.42
my pen ge,96,118,81.36%,1
mypen. ge,78,88,88.64%,1
mypen ge download,39,58,67.24%,1
my.pen,20,33,60.61%,1.55
pen ge,17,47,36.17%,3.15
mypan,12,19,63.16%,1.74
my pan,10,11,90.91%,1
mypenge,8,8,100%,1
myfen,4,12,33.33%,4.5
mipen,4,12,33.33%,15.58
myoen,4,6,66.67%,1.17
maypen,3,4,75%,1
maipen,3,3,100%,1
mypens,2,11,18.18%,7
mepen,2,3,66.67%,1
mypeen,2,3,66.67%,17
პრომპტი,1,32,3.12%,6.62
დრო და დრო,1,5,20%,11.4
penge,1,4,25%,2.5
გრამატიკის შესწორება,1,4,25%,11.25
getmypen,1,3,33.33%,20.33
mypan ge,1,2,50%,1
pen.ge,1,2,50%,1
გააანალიზე ეს,1,2,50%,19
mupen,1,2,50%,21.5
my peng,1,1,100%,1
მყ,0,119,0%,9.24
ცერე,0,103,0%,6.19
წერე,0,93,0%,6.28
ge.pmiopen,0,73,0%,5.23
პენ,0,55,0%,4.56
pen,0,32,0%,6.69
წერე ქართულად,0,32,0%,7.81
თარგმანი ქართულად,0,28,0%,9.46
ultra ge,0,25,0%,8.6
saasify,0,24,0%,52.92
qaru ge,0,22,0%,8.73
my ge,0,19,0%,36.58
ჩამომიწერე,0,17,0%,5.35
popular ge,0,14,0%,5.21
თარგმნა ქართულად,0,12,0%,10.25
pan ge,0,10,0%,7.1
ქართული ai,0,10,0%,7.7
my edu ge,0,10,0%,8.1
წერა,0,9,0%,10.22
რეცეპტები,0,9,0%,62.22
დრო,0,8,0%,11.25
დაიწყე,0,7,0%,6
he mypen,0,7,0%,9.71
ზუსტი დრო,0,6,0%,7.5
qartulad ge,0,6,0%,22.67
ge pmiopen,0,5,0%,4
mylov ge,0,5,0%,11.6
თარგმნა ტექსტის,0,5,0%,24.4
კონფიდენციალურობა განმარტება,0,5,0%,51
tsere,0,4,0%,2.5
მიიღეთ,0,4,0%,7.25
დაზოგე ჯი,0,4,0%,8.75
my ger,0,3,0%,3.67
დაზოგე,0,3,0%,4.67
ატვირთე,0,3,0%,5.33
this is my pen,0,3,0%,32.67
mypin,0,3,0%,66.33
ypen,0,2,0%,2
droze qartulad,0,2,0%,8.5
ეი აი,0,2,0%,9.5
ტექსტის თარგმნა,0,2,0%,9.5
ჩემი ფაილები,0,2,0%,9.5
სწორი თარგმნა,0,2,0%,11
ge pen,0,2,0%,11.5
ai ქართულად,0,2,0%,16.5
radom chat,0,2,0%,18.5
qartuli ge,0,2,0%,19
სურათები,0,2,0%,24
ქართული ტექსტის შესწორება,0,2,0%,39.5
თარგმანი,0,2,0%,43
fen gi,0,2,0%,43.5
თარგმნა,0,2,0%,49
იარაღი,0,2,0%,49.5
mai,0,2,0%,57.5
skyflow,0,2,0%,79.5
pen light,0,2,0%,94.5
გაანალიზე ეს,0,1,0%,1
me pen,0,1,0%,2
mymen,0,1,0%,2
myopen ai,0,1,0%,2
may pen,0,1,0%,3
mp ge,0,1,0%,3
dokebi,0,1,0%,4
mypet ge,0,1,0%,5
fen ge,0,1,0%,6
my meti,0,1,0%,6
myi a,0,1,0%,6
პან,0,1,0%,6
უფასოდ,0,1,0%,6
შენი სტილი,0,1,0%,6
10x edu ge,0,1,0%,7
g pen,0,1,0%,7
pen menu,0,1,0%,7
დრო ქართულად,0,1,0%,7
მოგვწერეთ,0,1,0%,7
პდფ ფაილი,0,1,0%,7
dro me,0,1,0%,8
ქართული ენის ს,0,1,0%,8
შია,0,1,0%,8
dro qartulad,0,1,0%,9
light light light qartulad,0,1,0%,9
"ge,imy",0,1,0%,10
qartulad targmna,0,1,0%,10
ფაილები,0,1,0%,10
შენს დროში,0,1,0%,10
ენის თარგმნა,0,1,0%,11
მიიღე,0,1,0%,11
chat ge,0,1,0%,28
didi gegma qartulad,0,1,0%,29
the 100 qartulad,0,1,0%,29
may ge,0,1,0%,30
ქართული ენა,0,1,0%,34
my,0,1,0%,36
ქართულად,0,1,0%,44
facebook gadmowera,0,1,0%,48
სამი და ქართულად,0,1,0%,50
ყოველდღიური,0,1,0%,51
კრეატიული ბიზნეს იდეები,0,1,0%,58
საკრედიტო ბარათი,0,1,0%,62
დროში,0,1,0%,66
where is my pen,0,1,0%,68
კვლევა,0,1,0%,71
my pens,0,1,0%,73
ვაკანსიები,0,1,0%,79
მარტივი გადახდის პირობა,0,1,0%,89
